sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
seq2-060701-H9	263249	250761	250761	243676	243001
seq2-060702-H8	448309	423149	423149	420060	419853
seq2-060703-H7	367774	350790	350790	348655	348608
seq2-0607P-B10	379862	352459	352459	349525	326644
seq2-0607S-A10	142917	4573	4573	4523	4523
seq2-060801-F7	279641	264461	264461	258109	257758
seq2-060802-B8	275431	257257	257257	249251	248860
seq2-060803-H6	425148	397880	397880	388169	387462
seq2-060805-B6	321931	299807	299807	294737	294166
seq2-060806-B5	305423	285531	285531	278332	277893
seq2-060808-G11	239944	223410	223410	216551	214975
seq2-061601-F11	238209	169439	169439	167893	167740
seq2-061602-E11	286882	224876	224876	223591	222838
seq2-061603-D11	331710	305359	305359	301841	301641
seq2-061604-C11	235765	216275	216275	213867	213764
seq2-061605-B11	229935	211275	211275	203146	202511
seq2-061606-A11	225563	200420	200420	196331	196148
seq2-061607-H10	248046	226278	226278	218469	217906
seq2-061608-E3	505582	470924	470924	468348	468140
seq2-061608-G10	350866	326121	326121	324161	324050
seq2-061609-F10	269030	248720	248720	245273	244646
seq2-061610-E10	297301	278583	278583	271461	271223
seq2-061620-C10	201183	169501	169501	167214	167067
seq2-B1-A1	146031	135768	135768	130950	130298
seq2-B10-B2	179542	164596	164596	160854	160610
seq2-B11-C2	248892	236567	236567	234079	233880
seq2-B12-D2	247531	233995	233995	228293	226999
seq2-B13-E2	287281	270457	270457	265230	264419
seq2-B14-F2	247613	234044	234044	231109	230682
seq2-B15-G2	189973	177346	177346	172118	171780
seq2-B16-H2	259008	243083	243083	238344	237188
seq2-B17-G9	255009	238412	238412	233283	233218
seq2-B18-A3	124219	96504	96504	94958	94848
seq2-B2-B1	193496	179679	179679	175470	174260
seq2-B21-B3	295999	277293	277293	268858	268271
seq2-B22-C3	289944	273609	273609	266364	264772
seq2-B23-D3	347315	328133	328133	325541	325370
seq2-B3-C1	212057	202419	202419	200594	200436
seq2-B4-D1	221101	207590	207590	203175	202131
seq2-B5-E1	223361	209627	209627	205858	204838
seq2-B6-F1	302392	284397	284397	281099	280908
seq2-B7-G1	200465	189088	189088	181058	180598
seq2-B8-H1	221152	207028	207028	201220	200537
seq2-B9-A2	293927	277256	277256	275467	275387
seq2-C1-A4	253027	228208	228208	225249	225092
seq2-C10-D4	300235	276344	276344	272544	271876
seq2-C11-D5	222980	206199	206199	204549	204468
seq2-C12-D6	286965	264678	264678	262120	261999
seq2-C13-E4	270792	254170	254170	249046	248728
seq2-C15-E6	274330	256257	256257	251934	251624
seq2-C16-F4	330752	308311	308311	297577	297226
seq2-C17-F5	285817	268541	268541	264552	264295
seq2-C18-F6	303817	284996	284996	279432	279165
seq2-C19-G4	295065	276300	276300	272804	271656
seq2-C2-A5	312856	285617	285617	281918	281478
seq2-C20-G5	256875	238274	238274	234161	234093
seq2-C21-G6	310183	287883	287883	284645	284350
seq2-C22-H4	314273	292528	292528	289832	289823
seq2-C23-H5	239749	223552	223552	220917	220513
seq2-C3-A6	334153	307804	307804	303968	303530
seq2-C4-B4	358848	330933	330933	326243	325499
seq2-C7-C4	361304	335603	335603	332397	332382
seq2-C8-C5	373372	349586	349586	345862	345178
seq2-C9-C6	238994	218664	218664	214448	213922
seq2-D1-A7	338420	317125	317125	314371	314319
seq2-D10-D7	236324	222640	222640	218949	218756
seq2-D11-D8	229624	215040	215040	212984	212964
seq2-D12-D9	227880	214900	214900	212008	211890
seq2-D13-E7	252065	237618	237618	235004	234784
seq2-D14-E8	321043	303686	303686	302133	302085
seq2-D15-E9	280071	263737	263737	260413	260386
seq2-D17-F8	251779	238399	238399	235267	235063
seq2-D18-F9	222520	207329	207329	199560	199529
seq2-D19-G7	227903	214669	214669	209315	208996
seq2-D2-A8	260524	242219	242219	234874	234280
seq2-D20-G8	235512	222123	222123	219170	219108
seq2-D3-A9	198823	181999	181999	176149	175862
seq2-D4-B7	391472	364747	364747	358973	357960
seq2-D7-C7	268887	249006	249006	240057	239808
seq2-D8-C8	288600	270663	270663	265310	265263
seq2-D9-C9	267433	249108	249108	245664	245468
seq2-E10-H3	335499	317969	317969	311582	308904
seq2-E15-G3	249920	237052	237052	231052	230622
seq2-E17-H11	213444	200114	200114	195460	194913
seq2-E2-E5	237520	224052	224052	213052	212594
seq2-E6-F3	301687	289560	289560	285569	283582
seq2-E8-B9	289912	277201	277201	272519	269938
seq2-E9-D10	213833	201518	201518	195778	194142
seq2-F10-E12	23	21	21	12	12
seq2-F11-F12	110225	104040	104040	99887	99299
seq2-F12-G12	201498	191519	191519	186014	185311
seq2-F13-H12	199435	188839	188839	184626	183786
seq2-F8-A12	124836	115295	115295	111996	108935
seq2-F9-B12	175473	164944	164944	162457	161129
