"","ASV","comparison","beta","se","qval","sample","KO_description","dpt"
"1","K00531","groupoff or low",-0.155568938010043,0.232622732569657,"***","top","K00531 anfG","a. top"
"2","K00578","groupoff or low",-0.0191768186046897,0.308982501730058,"***","top","K00578 mtrB","a. top"
"3","K00579","groupoff or low",-0.0191768186046897,0.308982501730058,"***","top","K00579 mtrC","a. top"
"4","K00580","groupoff or low",-0.0191768186046897,0.308982501730058,"***","top","K00580 mtrD","a. top"
"5","K00581","groupoff or low",-0.0191768186046897,0.308982501730058,"***","top","K00581 mtrE","a. top"
"6","K00582","groupoff or low",-0.00321723460441964,0.30565308599912,"***","top","K00582 mtrF","a. top"
"7","K00583","groupoff or low",0.215198246957578,0.179255264277341,"***","top","K00583 mtrG","a. top"
"8","K00956","groupoff or low",0.16440192923807,0.0850948517146317,"","top","K00956 cysN","a. top"
"9","K08264","groupoff or low",-0.307082400665869,0.227489055444447,"***","top","K08264 hdrD","a. top"
"10","K08928","groupoff or low",-0.41023171148055,0.0907430359290497,"*","top","K08928 pufL","a. top"
"11","K08929","groupoff or low",-0.39546200648035,0.0932506037025116,"","top","K08929 pufM","a. top"
"12","K16157","groupoff or low",-0.0356500388796603,0.20201106395128,"***","top","K16157 mmoX","a. top"
"13","K16158","groupoff or low",-0.0356500388796603,0.20201106395128,"***","top","K16158 mmoY","a. top"
"14","K16159","groupoff or low",-0.0356500388796603,0.20201106395128,"***","top","K16159 mmoZ","a. top"
"15","K16160","groupoff or low",-0.0356500388796603,0.20201106395128,"***","top","K16160 mmoB","a. top"
"16","K16161","groupoff or low",0.212156664081185,0.242947193649213,"***","top","K16161 mmoC","a. top"
"17","K16162","groupoff or low",-0.0356500388796603,0.20201106395128,"***","top","K16162 mmoD","a. top"
"18","K17222","groupoff or low",-0.309377613516143,0.0681139930402384,"*","top","K17222 soxA","a. top"
"19","K00204","groupoff or low",-0.188045971921544,0.162676953620656,"***","bottom","K00204 fwdH","b. bottom"
"20","K00531","groupoff or low",-0.0245177101046813,0.390312846609771,"","bottom","K00531 anfG","b. bottom"
"21","K00578","groupoff or low",-0.53674118231214,0.434710737058263,"","bottom","K00578 mtrB","b. bottom"
"22","K00579","groupoff or low",-0.53674118231214,0.434710737058263,"","bottom","K00579 mtrC","b. bottom"
"23","K00580","groupoff or low",-0.53674118231214,0.434710737058263,"","bottom","K00580 mtrD","b. bottom"
"24","K00581","groupoff or low",-0.53674118231214,0.434710737058263,"","bottom","K00581 mtrE","b. bottom"
"25","K00582","groupoff or low",-0.522704009495462,0.433218136593847,"","bottom","K00582 mtrF","b. bottom"
"26","K00583","groupoff or low",-0.609235374409156,0.296964872433425,"","bottom","K00583 mtrG","b. bottom"
"27","K00956","groupoff or low",0.284254058348737,0.0605175563690687,"*","bottom","K00956 cysN","b. bottom"
"28","K08264","groupoff or low",-0.741221293201054,0.35623706399132,"","bottom","K08264 hdrD","b. bottom"
"29","K08928","groupoff or low",-0.354959830843559,0.0741457276144569,"*","bottom","K08928 pufL","b. bottom"
"30","K08929","groupoff or low",-0.344999948360902,0.072786991952775,"*","bottom","K08929 pufM","b. bottom"
"31","K16157","groupoff or low",-0.20544780452581,0.300924971605112,"***","bottom","K16157 mmoX","b. bottom"
"32","K16158","groupoff or low",-0.20544780452581,0.300924971605112,"***","bottom","K16158 mmoY","b. bottom"
"33","K16159","groupoff or low",-0.20544780452581,0.300924971605112,"***","bottom","K16159 mmoZ","b. bottom"
"34","K16160","groupoff or low",-0.20544780452581,0.300924971605112,"***","bottom","K16160 mmoB","b. bottom"
"35","K16161","groupoff or low",-0.25325105835753,0.300179254821582,"***","bottom","K16161 mmoC","b. bottom"
"36","K16162","groupoff or low",-0.20544780452581,0.300924971605112,"***","bottom","K16162 mmoD","b. bottom"
"37","K17222","groupoff or low",-0.192648777153115,0.0839126481428275,"","bottom","K17222 soxA","b. bottom"
"38","K00204","groupoff/low",0,0,"","top","K00204 fwdH","a. top"
