Feature ID	Taxon
0	Bacillus_subtilis_16S_170923.fasta
1	Bacillus_subtilis_16S_170923.fasta
2	Bacillus_subtilis_16S_170923.fasta
3	Bacillus_subtilis_16S_170923.fasta
4	Bacillus_subtilis_16S_170923.fasta
5	Bacillus_subtilis_16S_170923.fasta
6	Bacillus_subtilis_16S_170923.fasta
7	Bacillus_subtilis_16S_170923.fasta
8	Bacillus_subtilis_16S_170923.fasta
9	Bacillus_subtilis_16S_170923.fasta
10	Enterococcus_faecalis_16S_170923.fasta
11	Enterococcus_faecalis_16S_170923.fasta
12	Enterococcus_faecalis_16S_170923.fasta
13	Enterococcus_faecalis_16S_170923.fasta
14	Escherichia_coli_16S_170923.fasta
15	Escherichia_coli_16S_170923.fasta
16	Escherichia_coli_16S_170923.fasta
17	Escherichia_coli_16S_170923.fasta
18	Escherichia_coli_16S_170923.fasta
19	Escherichia_coli_16S_170923.fasta
20	Escherichia_coli_16S_170923.fasta
21	Lactobacillus_fermentum_16S_170924.fasta
22	Lactobacillus_fermentum_16S_170924.fasta
23	Listeria_monocytogenes_16S_170923.fasta
24	Listeria_monocytogenes_16S_170923.fasta
25	Listeria_monocytogenes_16S_170923.fasta
26	Listeria_monocytogenes_16S_170923.fasta
27	Listeria_monocytogenes_16S_170923.fasta
28	Listeria_monocytogenes_16S_170923.fasta
29	Pseudomonas_aeruginosa_16S_170923.fasta
30	Pseudomonas_aeruginosa_16S_170923.fasta
31	Pseudomonas_aeruginosa_16S_170923.fasta
32	Pseudomonas_aeruginosa_16S_170923.fasta
33	Salmonella_enterica_16S_170923.fasta
34	Salmonella_enterica_16S_170923.fasta
35	Salmonella_enterica_16S_170923.fasta
36	Salmonella_enterica_16S_170923.fasta
37	Salmonella_enterica_16S_170923.fasta
38	Salmonella_enterica_16S_170923.fasta
39	Staphylococcus_aureus_16S_170923.fasta
40	Staphylococcus_aureus_16S_170923.fasta
41	Staphylococcus_aureus_16S_170923.fasta
42	Staphylococcus_aureus_16S_170923.fasta
43	Staphylococcus_aureus_16S_170923.fasta
44	Staphylococcus_aureus_16S_170923.fasta
